Symbol,Description,Portfolio Weight,Shares Held,Market Value
MSFT,Microsoft Corp,9.50%,17.0K,$7.7M
AAPL,Apple Inc,8.80%,33.4K,$7.1M
NVDA,NVIDIA Corp,8.42%,55.2K,$6.8M
AMZN,Amazon.com Inc,5.17%,21.2K,$4.2M
META,Meta Platforms Inc Class A,3.21%,5.0K,$2.6M
GOOGL,Alphabet Inc Class A,3.08%,13.5K,$2.5M
GOOG,Alphabet Inc Class C,2.59%,11.3K,$2.1M
LLY,Eli Lilly and Co,2.19%,2.0K,$1.8M
AVGO,Broadcom Inc,2.04%,1.0K,$1.7M
TSLA,Tesla Inc,1.55%,6.4K,$1.3M
V,Visa Inc Class A,1.18%,3.6K,$960.8K
MA,Mastercard Inc Class A,1.04%,1.9K,$843.9K
UNH,UnitedHealth Group Inc,0.99%,1.7K,$805.5K
BRK/B,Berkshire Hathaway Inc Class B,0.94%,1.9K,$766.9K
COST,Costco Wholesale Corp,0.94%,896.0,$762.2K
NFLX,Netflix Inc,0.83%,986.0,$674.8K
AMD,Advanced Micro Devices Inc,0.73%,3.7K,$593.1K
PG,Procter & Gamble Co,0.71%,3.5K,$575.8K
HD,The Home Depot Inc,0.69%,1.6K,$560.7K
ADBE,Adobe Inc,0.69%,1.0K,$562.1K
CRM,Salesforce Inc,0.67%,2.2K,$545.7K
ORCL,Oracle Corp,0.63%,3.7K,$513.9K
LIN,Linde PLC,0.60%,1.1K,$486.9K
TMO,Thermo Fisher Scientific Inc,0.59%,870.0,$479.2K
ACN,Accenture PLC Class A,0.58%,1.6K,$470.2K
QCOM,Qualcomm Inc,0.55%,2.3K,$450.2K
AMAT,Applied Materials Inc,0.54%,1.9K,$441.8K
INTU,Intuit Inc,0.51%,630.0,$410.4K
DHR,Danaher Corp,0.48%,1.6K,$390.7K
ABT,Abbott Laboratories,0.45%,3.5K,$368.4K
NOW,ServiceNow Inc,0.45%,468.0,$362.3K
ISRG,Intuitive Surgical Inc,0.44%,810.0,$360.5K
MRK,Merck & Co Inc,0.43%,2.7K,$347.1K
PEP,PepsiCo Inc,0.42%,2.1K,$343.2K
SPGI,S&P Global Inc,0.41%,734.0,$329.5K
KO,Coca-Cola Co,0.41%,5.2K,$331.9K
TXN,Texas Instruments Inc,0.41%,1.7K,$332.7K
UBER,Uber Technologies Inc,0.40%,4.6K,$323.1K
MCD,McDonald's Corp,0.39%,1.2K,$315.0K
LRCX,Lam Research Corp,0.39%,299.0,$315.7K
BKNG,Booking Holdings Inc,0.38%,78.0,$312.7K
ABBV,AbbVie Inc,0.37%,1.8K,$301.5K
TJX,TJX Companies Inc,0.35%,2.6K,$287.1K
PGR,Progressive Corp,0.35%,1.4K,$286.0K
CAT,Caterpillar Inc,0.34%,843.0,$276.0K
VRTX,Vertex Pharmaceuticals Inc,0.34%,591.0,$279.3K
SYK,Stryker Corp,0.33%,788.0,$268.3K
NKE,Nike Inc Class B,0.32%,2.7K,$256.4K
BSX,Boston Scientific Corp,0.32%,3.4K,$259.3K
BA,Boeing Co,0.32%,1.4K,$263.0K
ETN,Eaton Corp PLC,0.32%,822.0,$258.1K
UNP,Union Pacific Corp,0.31%,1.1K,$249.6K
REGN,Regeneron Pharmaceuticals Inc,0.31%,240.0,$252.2K
KLAC,KLA Corp,0.31%,309.0,$251.8K
PANW,Palo Alto Networks Inc,0.30%,722.0,$246.1K
MMC,Marsh & McLennan Companies Inc,0.29%,1.1K,$232.9K
ADI,Analog Devices Inc,0.29%,1.0K,$233.0K
ADP,Automatic Data Processing Inc,0.28%,955.0,$226.6K
JNJ,Johnson & Johnson,0.28%,1.5K,$225.6K
PLD,Prologis Inc,0.28%,2.1K,$229.4K
TTD,The Trade Desk Inc Class A,0.12%,1.0K,$99.4K
BDX,Becton Dickinson & Co,0.12%,416.0,$96.1K
APD,Air Products & Chemicals Inc,0.12%,382.0,$100.5K
COIN,Coinbase Global Inc Ordinary Shares - Cl...,0.12%,427.0,$95.6K
DXCM,DexCom Inc,0.12%,864.0,$99.0K
MRNA,Moderna Inc,0.12%,772.0,$93.6K
HES,Hess Corp,0.12%,671.0,$99.0K
ROST,Ross Stores Inc,0.12%,686.0,$100.2K
SMCI,Super Micro Computer Inc,0.12%,113.0,$100.6K
TMUS,T-Mobile US Inc,0.11%,525.0,$93.1K
SNOW,Snowflake Inc Ordinary Shares - Class A,0.11%,651.0,$87.2K
PWR,Quanta Services Inc,0.11%,342.0,$91.3K
IDXX,IDEXX Laboratories Inc,0.11%,188.0,$92.9K
IQV,IQVIA Holdings Inc,0.11%,407.0,$86.6K
MPWR,Monolithic Power Systems Inc,0.11%,110.0,$89.2K
MNST,Monster Beverage Corp,0.11%,1.7K,$86.0K
CL,Colgate-Palmolive Co,0.11%,922.0,$90.5K
FTNT,Fortinet Inc,0.11%,1.4K,$86.6K
GWW,W.W. Grainger Inc,0.11%,102.0,$92.2K
A,Agilent Technologies Inc,0.11%,655.0,$85.7K
AME,AMETEK Inc,0.11%,531.0,$88.4K
CARR,Carrier Global Corp Ordinary Shares,0.11%,1.5K,$92.7K
VRSK,Verisk Analytics Inc,0.11%,328.0,$88.8K
SPOT,Spotify Technology SA,0.11%,292.0,$92.1K
YUM,Yum Brands Inc,0.10%,586.0,$77.7K
