Symbol,Description,Portfolio Weight,Shares Held,Market Value
CHWY,Chewy Inc,1.77%,278.2K,$8.1M
CVNA,Carvana Co Class A,1.74%,59.8K,$7.9M
OLLI,Ollie's Bargain Outlet Holdings Inc,1.51%,70.2K,$6.9M
SFM,Sprouts Farmers Market Inc,1.46%,81.5K,$6.7M
KSS,Kohl's Corp,1.45%,285.4K,$6.6M
AMZN,Amazon.com Inc,1.45%,33.5K,$6.6M
GO,Grocery Outlet Holding Corp,1.44%,298.3K,$6.6M
FL,Foot Locker Inc,1.43%,255.5K,$6.5M
ORLY,O'Reilly Automotive Inc,1.42%,6.1K,$6.5M
KMX,CarMax Inc,1.41%,88.1K,$6.5M
BURL,Burlington Stores Inc,1.41%,27.0K,$6.4M
AZO,AutoZone Inc,1.40%,2.2K,$6.4M
DDS,Dillard's Inc Class A,1.40%,14.8K,$6.4M
DG,Dollar General Corp,1.40%,49.0K,$6.4M
TGT,Target Corp,1.40%,43.6K,$6.4M
ODP,The ODP Corp,1.40%,161.2K,$6.4M
VVV,Valvoline Inc,1.40%,149.5K,$6.4M
CASY,Casey's General Stores Inc,1.39%,16.6K,$6.3M
ASO,Academy Sports and Outdoors Inc Ordinary...,1.39%,118.9K,$6.3M
BKE,Buckle Inc,1.38%,173.5K,$6.3M
VSCO,Victoria's Secret & Co,1.38%,347.6K,$6.3M
SBH,Sally Beauty Holdings Inc,1.38%,593.4K,$6.3M
PAG,Penske Automotive Group Inc,1.38%,42.5K,$6.3M
PSMT,Pricesmart Inc,1.38%,78.2K,$6.3M
SIG,Signet Jewelers Ltd,1.38%,70.7K,$6.3M
M,Macy's Inc,1.37%,335.5K,$6.3M
WMT,Walmart Inc,1.37%,91.9K,$6.2M
TJX,TJX Companies Inc,1.37%,56.8K,$6.3M
DKS,Dick's Sporting Goods Inc,1.37%,28.5K,$6.3M
EBAY,eBay Inc,1.37%,118.2K,$6.3M
BOOT,Boot Barn Holdings Inc,1.37%,48.7K,$6.3M
BJ,BJ's Wholesale Club Holdings Inc,1.36%,71.0K,$6.2M
MUSA,Murphy USA Inc,1.36%,13.1K,$6.2M
HIBB,Hibbett Inc,1.35%,70.7K,$6.2M
LAD,Lithia Motors Inc Class A,1.35%,24.5K,$6.1M
ROST,Ross Stores Inc,1.35%,42.2K,$6.2M
JWN,Nordstrom Inc,1.35%,292.6K,$6.2M
ETSY,Etsy Inc,1.35%,104.6K,$6.1M
WRBY,Warby Parker Inc Ordinary Shares - Class...,1.35%,380.0K,$6.2M
URBN,Urban Outfitters Inc,1.34%,143.8K,$6.1M
DLTR,Dollar Tree Inc,1.34%,58.1K,$6.1M
COST,Costco Wholesale Corp,1.34%,7.2K,$6.1M
CWH,Camping World Holdings Inc Class A,1.34%,343.2K,$6.1M
ABG,Asbury Automotive Group Inc,1.33%,26.8K,$6.1M
AAP,Advance Auto Parts Inc,1.33%,97.1K,$6.1M
ACI,Albertsons Companies Inc Class A,1.33%,307.8K,$6.1M
ULTA,Ulta Beauty Inc,1.33%,15.8K,$6.1M
AEO,American Eagle Outfitters Inc,1.32%,299.7K,$6.0M
CAL,Caleres Inc,1.32%,179.7K,$6.0M
FIVE,Five Below Inc,1.32%,54.6K,$6.0M
KR,The Kroger Co,1.32%,122.3K,$6.0M
GES,Guess? Inc,1.30%,292.5K,$5.9M
GPI,Group 1 Automotive Inc,1.30%,20.3K,$6.0M
UPBD,Upbound Group Inc,1.30%,197.1K,$5.9M
SAH,Sonic Automotive Inc Class A,1.30%,109.6K,$5.9M
GPS,Gap Inc,1.30%,246.5K,$5.9M
BBY,Best Buy Co Inc,1.30%,70.6K,$6.0M
AN,AutoNation Inc,1.29%,37.6K,$5.9M
MNRO,Monro Inc,1.29%,254.3K,$5.9M
TSCO,Tractor Supply Co,1.29%,22.0K,$5.9M
WINA,Winmark Corp,1.29%,16.9K,$5.9M
EYE,National Vision Holdings Inc,1.27%,458.7K,$5.8M
ANF,Abercrombie & Fitch Co Class A,1.25%,33.1K,$5.7M
LESL,Leslies Inc Ordinary Shares,1.24%,1.3M,$5.7M
RVLV,Revolve Group Inc Class A,1.23%,365.8K,$5.6M
BBWI,Bath & Body Works Inc,1.22%,142.4K,$5.6M
GME,GameStop Corp Class A,1.18%,214.6K,$5.4M
HZO,MarineMax Inc,1.13%,160.1K,$5.1M
WBA,Walgreens Boots Alliance Inc,1.06%,396.1K,$4.8M
DBI,Designer Brands Inc Class A,0.96%,623.1K,$4.4M
SCVL,Shoe Carnival Inc,0.89%,109.7K,$4.0M
GRPN,Groupon Inc,0.89%,270.5K,$4.1M
WMK,Weis Markets Inc,0.83%,60.5K,$3.8M
IMKTA,Ingles Markets Inc Class A,0.81%,54.3K,$3.7M
CRMT,America's Car-Mart Inc,0.66%,49.8K,$3.0M
SVV,Savers Value Village Inc,0.65%,254.9K,$3.0M
GCO,Genesco Inc,0.47%,87.2K,$2.1M
ARKO,ARKO Corp Ordinary Shares - Class A,0.32%,234.7K,$1.5M
--,State Street Institutional Liq State St ...,0.04%,176.2K,$176.3K
